Symbol	Bed chr (hg19)	start	end	chr locus	Annotator	Date updated	Origin	Expansion of gene name	Known function of gene	Variant type	Hom or Het	Variant chr	Variant start	Variant end	Call	Literature 1 (Title; PMID; Lit score)	Literature 2 (Title; PMID; Lit score)	Literature 3 (Title; PMID; Lit score)	Literature 4 (Title; PMID; Lit score)	Literature 5 (Title; PMID; Lit score)	Literature 6 (Title; PMID; Lit score)	Literature 7 (Title; PMID; Lit score)	Free text comments		Pathway
DHX40	chr17	57642885	57685713	17q23.1			Index gene	DEAH-box helicase 40																	
CLTC	chr17	57697049	57774317	17q23.1			Index gene	clathrin heavy chain																	
PTRH2	chr17	57774666	57784959	17q23.1			Index gene	peptidyl-tRNA hydrolase 2																	
VMP1	chr17	57784825	57919616	17q23.1			Index gene	vacuole membrane protein 1																	
USP32	chr17	58254690	58469586	17q23.3			Index gene	ubiquitin specific peptidase 32																	
BCAS3	chr17	58755171	59470199	17q23.2			Index gene	BCAS3, microtubule associated cell migration factor																	
NACA2	chr17	59667793	59668563	17q23.3			Index gene	nascent polypeptide associated complex alpha subunit 2																	
DCAF7	chr17	61627795	61671642	17q23.3			Index gene	DDB1 and CUL4 associated factor 7																	
STRADA	chr17	61780191	61819330	17q23.3			Index gene	STE20-related kinase adaptor alpha																	
CCDC47	chr17	61822609	61851088	17q23.3			Index gene	coiled-coil domain containing 47																	
DDX42	chr17	61851548	61896677	17q23.3			Index gene	DEAD-box helicase 42																	
PSMC5	chr17	61904769	61909387	17q23.3			Index gene	proteasome 26S subunit, ATPase 5																	
TEX2	chr17	62224792	62340683	17q23.3			Index gene	testis expressed 2																	
DDX5	chr17	62494371	62503156	17q23.3			Index gene	DEAD-box helicase 5																	
CEP95	chr17	62502853	62534069	17q23.3			Index gene	centrosomal protein 95																	
CACNG4	chr17	64960979	65029518	17q24.2			Index gene	calcium voltage-gated channel auxiliary subunit gamma 4																	
PITPNC1	chr17	65373396	65693379	17q24.3			Index gene	phosphatidylinositol transfer protein, cytoplasmic 1																	
KPNA2	chr17	66031717	66042975	17q24.2			Index gene	karyopherin subunit alpha 2																	
AMZ2	chr17	66244144	66253305	17q24.2			Index gene	archaelysin family metallopeptidase 2																	
PRKAR1A	chr17	66409763	66547457	17q24.2			Index gene	protein kinase cAMP-dependent type I regulatory subunit alpha																	
COG1	chr17	71189172	71204645	17q25.1			Index gene	component of oligomeric golgi complex 1																	
FAM104A	chr17	71203491	71228533	17q25.1			Index gene	family with sequence similarity 104 member A																	
CDC42EP4	chr17	71279762	71308143	17q25.1			Index gene	CDC42 effector protein 4																	
RPL38	chr17	72199794	72206019	17q25.1			Index gene	ribosomal protein L38																	
HID1	chr17	72946838	72968900	17q25.1			Index gene	HID1 domain containing																	
MRPL58	chr17	73008758	73017356	17q25.1			Index gene	mitochondrial ribosomal protein L58																	
KCTD2	chr17	73028661	73061984	17q25.1			Index gene	potassium channel tetramerization domain containing 2																	
ATP5H	chr17	73034954	73043074	17q25.1			Index gene	ATP synthase, H+ transporting, mitochondrial Fo complex subunit D																	
HN1	chr17	73131337	73150778	#N/A			Index gene	#N/A																	
SUMO2	chr17	73163824	73179098	17q25			Index gene	small ubiquitin-like modifier 2																	
MRPS7	chr17	73257748	73262457	17q25.1			Index gene	mitochondrial ribosomal protein S7																	
GRB2	chr17	73314156	73401790	17q25.1			Index gene	growth factor receptor bound protein 2																	
TMEM94	chr17	73452544	73496533	17q25.1			Index gene	transmembrane protein 94																	
SAP30BP	chr17	73663195	73704142	17q25.1			Index gene	SAP30 binding protein																	
H3F3B	chr17	73772514	73776016	17q25.1			Index gene	H3 histone family member 3B																	
WBP2	chr17	73841779	73851501	17q25.1			Index gene	WW domain binding protein 2																	
MRPL38	chr17	73894723	73901181	17q25.1			Index gene	mitochondrial ribosomal protein L38																	
SRP68	chr17	74034855	74068607	17q25.1			Index gene	signal recognition particle 68																	
ZACN	chr17	74075262	74078885	17q25.1			Index gene	zinc activated ion channel																	
EXOC7	chr17	74077073	74099868	17q25.1			Index gene	exocyst complex component 7																	
RNF157	chr17	74138533	74236390	17q25.1			Index gene	ring finger protein 157																	
UBALD2	chr17	74261285	74267379	17q25.1			Index gene	UBA like domain containing 2																	
PRPSAP1	chr17	74306867	74350230	17q25.1			Index gene	phosphoribosyl pyrophosphate synthetase associated protein 1																	
UBE2O	chr17	74385612	74449288	17q25.1			Index gene	ubiquitin conjugating enzyme E2 O																	
MXRA7	chr17	74669731	74707087	17q25.1			Index gene	matrix remodeling associated 7																	
SRSF2	chr17	74730196	74733493	17q25.2			Index gene	serine and arginine rich splicing factor 2																	
MGAT5B	chr17	74864797	74946471	17q25.2			Index gene	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B																	
SEC14L1	chr17	75084724	75213181	17q25.2-q25.3			Index gene	SEC14 like lipid binding 1																	
SEPT9	chr17	75277491	75496678	#N/A			Index gene	#N/A																	
PGS1	chr17	76374698	76420740	17q25.3			Index gene	phosphatidylglycerophosphate synthase 1																	
CYTH1	chr17	76670128	76778424	17q25.3			Index gene	cytohesin 1																	
TIMP2	chr17	76849058	76921472	17q25.3			Index gene	TIMP metallopeptidase inhibitor 2																	
CANT1	chr17	76987797	77005899	17q25.3			Index gene	calcium activated nucleotidase 1																	
GAA	chr17	78075324	78093681	17q25.3			Index gene	glucosidase alpha, acid																	
EIF4A3	chr17	78109012	78120982	17q25.3			Index gene	eukaryotic translation initiation factor 4A3																	
CHMP6	chr17	78965640	78973933	17q25.3			Index gene	charged multivesicular body protein 6																	
BAIAP2	chr17	79008946	79091232	17q25.3			Index gene	BAI1 associated protein 2																	
NDUFAF8	chr17	79213110	79215098	17q25.3			Index gene	NADH:ubiquinone oxidoreductase complex assembly factor 8																	
ACTG1	chr17	79476996	79479892	17q25.3			Index gene	actin gamma 1																	
NPLOC4	chr17	79523910	79604179	17q25.3			Index gene	NPL4 homolog, ubiquitin recognition factor																	
ARL16	chr17	79648194	79650954	17q25.3			Index gene	ADP ribosylation factor like GTPase 16																	
HGS	chr17	79650961	79669151	17q25.3			Index gene	hepatocyte growth factor-regulated tyrosine kinase substrate																	
SLC25A10	chr17	79679265	79688046	17q25.3			Index gene	solute carrier family 25 member 10																	
MCRIP1	chr17	79780236	79791170	17q25.3			Index gene	MAPK regulated corepressor interacting protein 1																	
P4HB	chr17	79801033	79818544	17q25.3			Index gene	prolyl 4-hydroxylase subunit beta																	
ARHGDIA	chr17	79825594	79829282	17q25.3			Index gene	Rho GDP dissociation inhibitor alpha																	
ALYREF	chr17	79845710	79849462	17q25.3			Index gene	Aly/REF export factor																	
ANAPC11	chr17	79848665	79858409	17q25.3			Index gene	anaphase promoting complex subunit 11																	
PCYT2	chr17	79860776	79869353	17q25.3			Index gene	phosphate cytidylyltransferase 2, ethanolamine																	
ASPSCR1	chr17	79935425	79975282	17q25.3			Index gene	ASPSCR1, UBX domain containing tether for SLC2A4																	
STRA13	chr17	79976578	79980785	#N/A			Index gene	#N/A																	
RAC3	chr17	79989531	79992080	17q25.3			Index gene	ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)																	
DCXR	chr17	79993756	79995573	17q25.3			Index gene	dicarbonyl and L-xylulose reductase																	
RFNG	chr17	80005777	80009650	17q25.3			Index gene	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase																	
GPS1	chr17	80009740	80015346	17q25.3			Index gene	G protein pathway suppressor 1																	
DUS1L	chr17	80015747	80023697	17q25.3			Index gene	dihydrouridine synthase 1 like																	
FASN	chr17	80036213	80056106	17q25.3			Index gene	fatty acid synthase																	
CSNK1D	chr17	80200536	80231618	17q25.3			Index gene	casein kinase 1 delta																	
C17orf62	chr17	80400462	80408707	17q25.3			Index gene	chromosome 17 open reading frame 62																	
NARF	chr17	80416059	80446143	17q25.3			Index gene	nuclear prelamin A recognition factor																	
FOXK2	chr17	80477593	80562483	17q25.3			Index gene	forkhead box K2																	
WDR45B	chr17	80572437	80606411	17q25.3			Index gene	WD repeat domain 45B																	
RAB40B	chr17	80614942	80656598	17q25.3			Index gene	RAB40B, member RAS oncogene family																	
FN3KRP	chr17	80674581	80685893	17q25.3			Index gene	fructosamine 3 kinase related protein																	
FN3K	chr17	80693451	80709073	17q25.3			Index gene	fructosamine 3 kinase																	
TBCD	chr17	80709939	80901062	17q25.3			Index gene	tubulin folding cofactor D																	
USP14	chr18	158482	213739	18p11.32			Index gene	ubiquitin specific peptidase 14																	
LPIN2	chr18	2916991	3011945	18p11.31			Index gene	lipin 2																	
MYL12A	chr18	3247479	3256235	18p11.31			Index gene	myosin light chain 12A																	
MYL12B	chr18	3262110	3278282	18p11.31			Index gene	myosin light chain 12B																	
DLGAP1	chr18	3496029	4455266	18p11.31			Index gene	DLG associated protein 1																	
EPB41L3	chr18	5392379	5628990	18p11.31			Index gene	erythrocyte membrane protein band 4.1 like 3																	
RAB12	chr18	8609442	8639380	18p11.22			Index gene	RAB12, member RAS oncogene family																	
NDUFV2	chr18	9102627	9134343	18p11.22			Index gene	NADH:ubiquinone oxidoreductase core subunit V2																	
RALBP1	chr18	9475529	9538106	18p11.22			Index gene	ralA binding protein 1																	
PPP4R1	chr18	9546788	9614605	18p11.22			Index gene	protein phosphatase 4 regulatory subunit 1																	
VAPA	chr18	9913954	9960018	18p11.22			Index gene	VAMP associated protein A																	
APCDD1	chr18	10454624	10488698	18p11.22			Index gene	APC down-regulated 1																	
NAPG	chr18	10525872	10552766	18p11.22			Index gene	NSF attachment protein gamma																	
GNAL	chr18	11689013	11885683	18p11.21			Index gene	G protein subunit alpha L																	
CHMP1B	chr18	11851388	11854448	18p11.21			Index gene	charged multivesicular body protein 1B																	
MPPE1	chr18	11883470	11908796	18p11.21			Index gene	metallophosphoesterase 1																	
AFG3L2	chr18	12328942	12377275	18p11.21			Index gene	AFG3 like matrix AAA peptidase subunit 2																	
SPIRE1	chr18	12446510	12657912	18p11.21			Index gene	spire type actin nucleation factor 1																	
PSMG2	chr18	12658737	12725739	18p11.21			Index gene	proteasome assembly chaperone 2																	
SEH1L	chr18	12947982	12987536	18p11.21			Index gene	SEH1 like nucleoporin																	
SNRPD1	chr18	19192229	19210206	18q11.2			Index gene	small nuclear ribonucleoprotein D1 polypeptide																	
C18orf8	chr18	21083433	21111771	18q11.2			Index gene	chromosome 18 open reading frame 8																	
OSBPL1A	chr18	21742010	21977833	18q11.2			Index gene	oxysterol binding protein like 1A																	
KCTD1	chr18	24034873	24237365	18q11.2			Index gene	potassium channel tetramerization domain containing 1																	
CDH2	chr18	25530926	25757410	18q12.1			Index gene	cadherin 2																	
TRAPPC8	chr18	29409135	29523091	18q12.1			Index gene	trafficking protein particle complex 8																	
MAPRE2	chr18	32556891	32723432	18q12.1-q12.2			Index gene	microtubule associated protein RP/EB family member 2																	
ZNF24	chr18	32912171	32924431	18q12.2			Index gene	zinc finger protein 24																	
GALNT1	chr18	33234532	33291798	18q12.2			Index gene	polypeptide N-acetylgalactosaminyltransferase 1																	
RPRD1A	chr18	33569786	33647557	18q12.2			Index gene	regulation of nuclear pre-mRNA domain containing 1A																	
SLC39A6	chr18	33688493	33709357	18q12.2			Index gene	solute carrier family 39 member 6																	
FHOD3	chr18	33877658	34360183	18q12.2			Index gene	formin homology 2 domain containing 3																	
TPGS2	chr18	34359987	34409179	18q12.2			Index gene	tubulin polyglutamylase complex subunit 2																	
CELF4	chr18	34823007	35146000	18q12.2			Index gene	CUGBP Elav-like family member 4																	
SYT4	chr18	40847856	40857615	18q12.3			Index gene	synaptotagmin 4																	
ATP5A1	chr18	43664109	43684199	18q21.1			Index gene	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle																	
PIAS2	chr18	44383187	44500130	18q21.1			Index gene	protein inhibitor of activated STAT 2																	
HDHD2	chr18	44633772	44676891	18q21.1			Index gene	haloacid dehalogenase like hydrolase domain containing 2																	
IER3IP1	chr18	44681389	44702745	18q21.1			Index gene	immediate early response 3 interacting protein 1																	
SMAD2	chr18	45359465	45457517	18q21.1			Index gene	SMAD family member 2																	
CTIF	chr18	46065426	46389586	18q21.1			Index gene	cap binding complex dependent translation initiation factor																	
DYM	chr18	46570171	46987079	18q21.1			Index gene	dymeclin																	
C18orf32	chr18	47007547	47013644	18q21.1			Index gene	chromosome 18 open reading frame 32																	
RPL17	chr18	47014850	47018935	18q21.1			Index gene	ribosomal protein L17																	
MBD1	chr18	47793251	47808144	18q21.1			Index gene	methyl-CpG binding domain protein 1																	
CXXC1	chr18	47808712	47814692	18q21.1			Index gene	CXXC finger protein 1																	
ME2	chr18	48405431	48476162	18q21.2			Index gene	malic enzyme 2																	
MBD2	chr18	51677970	51751158	18q21.2			Index gene	methyl-CpG binding domain protein 2																	
TCF4	chr18	52889561	53303224	18q21.2			Index gene	transcription factor 4																	
TXNL1	chr18	54270052	54305920	18q21.31			Index gene	thioredoxin like 1																	
NARS	chr18	55267893	55289177	18q21.31			Index gene	asparaginyl-tRNA synthetase																	
NEDD4L	chr18	55711609	56068772	18q21.31			Index gene	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase																	
SEC11C	chr18	56807088	56826069	18q21.32			Index gene	SEC11 homolog C, signal peptidase complex subunit																	
PHLPP1	chr18	60382671	60647676	18q21.33			Index gene	PH domain and leucine rich repeat protein phosphatase 1																	
KDSR	chr18	60994970	61034506	18q21.33			Index gene	3-ketodihydrosphingosine reductase																	
TIMM21	chr18	71815745	71826204	18q22.3			Index gene	translocase of inner mitochondrial membrane 21																	
CYB5A	chr18	71920526	71959251	18q22.3			Index gene	cytochrome b5 type A																	
CNDP2	chr18	72163499	72190689	18q22.3			Index gene	carnosine dipeptidase 2																	
PQLC1	chr18	77662419	77711653	18q23			Index gene	PQ loop repeat containing 1																	
TXNL4A	chr18	77732866	77793935	18q23			Index gene	thioredoxin like 4A																	
CDC34	chr19	531732	542087	19p13.3			Index gene	cell division cycle 34																	
BSG	chr19	571276	583493	19p13.3			Index gene	basigin (Ok blood group)																	
RNF126	chr19	647525	663233	19p13.3			Index gene	ring finger protein 126																	
PALM	chr19	708952	748330	19p13.3			Index gene	paralemmin																	
MIR3187	chr19	813583	813653	19p13.3			Index gene	microRNA 3187																	
MED16	chr19	867961	893218	19p13.3			Index gene	mediator complex subunit 16																	
R3HDM4	chr19	896502	913225	19p13.3			Index gene	R3H domain containing 4																	
WDR18	chr19	984327	994569	19p13.3			Index gene	WD repeat domain 18																	
TMEM259	chr19	1009649	1021141	19p13.3			Index gene	transmembrane protein 259																	
POLR2E	chr19	1086577	1095391	19p13.3			Index gene	RNA polymerase II subunit E																	
GPX4	chr19	1103924	1106788	19p13.3			Index gene	glutathione peroxidase 4																	
STK11	chr19	1205797	1228434	19p13.3			Index gene	serine/threonine kinase 11																	
ATP5D	chr19	1241748	1244824	19p13.3			Index gene	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit																	
CIRBP	chr19	1269264	1274808	19p13.3			Index gene	cold inducible RNA binding protein																	
C19orf24	chr19	1275519	1279243	19p13.3			Index gene	chromosome 19 open reading frame 24																	
MUM1	chr19	1354975	1378430	19p13.3			Index gene	melanoma associated antigen (mutated) 1																	
NDUFS7	chr19	1383882	1395588	19p13.3			Index gene	NADH:ubiquinone oxidoreductase core subunit S7																	
GAMT	chr19	1397024	1401569	19p13.3			Index gene	guanidinoacetate N-methyltransferase																	
DAZAP1	chr19	1407567	1435686	19p13.3			Index gene	DAZ associated protein 1																	
RPS15	chr19	1438362	1440496	19p13.3			Index gene	ribosomal protein S15																	
APC2	chr19	1450147	1473243	19p13.3			Index gene	APC2, WNT signaling pathway regulator																	
MBD3	chr19	1576669	1592760	19p13			Index gene	methyl-CpG binding domain protein 3																	
UQCR11	chr19	1597153	1605483	19p13.3			Index gene	ubiquinol-cytochrome c reductase, complex III subunit XI																	
REXO1	chr19	1815244	1848452	19p13.3			Index gene	RNA exonuclease 1 homolog																	
ABHD17A	chr19	1876974	1885518	19p13.3			Index gene	abhydrolase domain containing 17A																	
SCAMP4	chr19	1905212	1926016	19p13.3			Index gene	secretory carrier membrane protein 4																	
CSNK1G2	chr19	1941160	1981336	19p13.3			Index gene	casein kinase 1 gamma 2																	
BTBD2	chr19	1985446	2015702	19p13.3			Index gene	BTB domain containing 2																	
MKNK2	chr19	2037469	2051243	19p13.3			Index gene	MAP kinase interacting serine/threonine kinase 2																	
AP3D1	chr19	2100986	2151556	19p13.3			Index gene	adaptor related protein complex 3 delta 1 subunit																	
PLEKHJ1	chr19	2229950	2236352	19p13.3			Index gene	pleckstrin homology domain containing J1																	
SF3A2	chr19	2236815	2248678	19p13.3			Index gene	splicing factor 3a subunit 2																	
OAZ1	chr19	2269484	2273487	19p13.3			Index gene	ornithine decarboxylase antizyme 1																	
LSM7	chr19	2321519	2328614	19p13.3			Index gene	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated																	
TIMM13	chr19	2425621	2427914	19p13.3			Index gene	translocase of inner mitochondrial membrane 13																	
DIRAS1	chr19	2714564	2721390	19p13.3			Index gene	DIRAS family GTPase 1																	
SGTA	chr19	2754711	2783354	19p13			Index gene	small glutamine rich tetratricopeptide repeat containing alpha																	
THOP1	chr19	2785457	2813602	19p13.3			Index gene	thimet oligopeptidase 1																	
AES	chr19	3052907	3062964	19p13.3			Index gene	amino-terminal enhancer of split																	
GNA11	chr19	3094407	3124000	19p13.3			Index gene	G protein subunit alpha 11																	
NCLN	chr19	3185874	3209573	19p13.3			Index gene	nicalin																	
CELF5	chr19	3224700	3297073	19p13.3			Index gene	CUGBP Elav-like family member 5																	
FZR1	chr19	3506294	3536755	19p13.3			Index gene	fizzy and cell division cycle 20 related 1																	
PIP5K1C	chr19	3630178	3700490	19p13.3			Index gene	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma																	
MRPL54	chr19	3762664	3767563	19p13.3			Index gene	mitochondrial ribosomal protein L54																	
ATCAY	chr19	3880617	3928080	19p13.3			Index gene	ATCAY, caytaxin																	
DAPK3	chr19	3958450	3971121	19p13.3			Index gene	death associated protein kinase 3																	
EEF2	chr19	3976053	3985461	19p13.3			Index gene	eukaryotic translation elongation factor 2																	
MAP2K2	chr19	4090319	4124126	19p13.3			Index gene	mitogen-activated protein kinase kinase 2																	
CCDC94	chr19	4247110	4269085	19p13.3			Index gene	coiled-coil domain containing 94																	
FSD1	chr19	4304590	4323843	19p13.3			Index gene	fibronectin type III and SPRY domain containing 1																	
MPND	chr19	4343523	4360083	19p13.3			Index gene	MPN domain containing																	
SH3GL1	chr19	4360363	4400565	19p13.3			Index gene	SH3 domain containing GRB2 like 1, endophilin A2																	
UBXN6	chr19	4445002	4457791	19p13			Index gene	UBX domain protein 6																	
HDGFRP2	chr19	4472192	4502232	#N/A			Index gene	#N/A																	
SEMA6B	chr19	4542599	4559771	19p13.3			Index gene	semaphorin 6B																	
MYDGF	chr19	4657556	4670415	19p13.3			Index gene	myeloid derived growth factor																	
PTPRS	chr19	5205518	5340814	19p13.3			Index gene	protein tyrosine phosphatase, receptor type S																	
SAFB2	chr19	5587009	5622938	19p13.3			Index gene	scaffold attachment factor B2																	
SAFB	chr19	5623045	5668489	19p13.3			Index gene	scaffold attachment factor B																	
C19orf70	chr19	5678424	5680907	19p13.3			Index gene	chromosome 19 open reading frame 70																	
HSD11B1L	chr19	5680775	5688534	19p13.3			Index gene	hydroxysteroid 11-beta dehydrogenase 1 like																	
RPL36	chr19	5690271	5691678	19p13.2			Index gene	ribosomal protein L36																	
LONP1	chr19	5691844	5720463	19p13.2			Index gene	lon peptidase 1, mitochondrial																	
FUT5	chr19	5865836	5870551	19p13.3			Index gene	fucosyltransferase 5																	
NDUFA11	chr19	5891286	5904024	19p13.3			Index gene	NADH:ubiquinone oxidoreductase subunit A11																	
RANBP3	chr19	5916150	5978320	19p13.3			Index gene	RAN binding protein 3																	
MLLT1	chr19	6210391	6279959	19p13.3			Index gene	MLLT1, super elongation complex subunit																	
CLPP	chr19	6361462	6368915	19p13.3			Index gene	caseinolytic mitochondrial matrix peptidase proteolytic subunit																	
ALKBH7	chr19	6372443	6375261	19p13.3			Index gene	alkB homolog 7																	
GTF2F1	chr19	6379579	6393291	19p13.3			Index gene	general transcription factor IIF subunit 1																	
KHSRP	chr19	6413118	6424822	19p13.3			Index gene	KH-type splicing regulatory protein																	
SLC25A23	chr19	6440074	6459781	19p13.3			Index gene	solute carrier family 25 member 23																	
TUBB4A	chr19	6494329	6502859	19p13.3			Index gene	tubulin beta 4A class IVa																	
ARHGEF18	chr19	7459998	7537371	19p13.2			Index gene	Rho/Rac guanine nucleotide exchange factor 18																	
ZNF358	chr19	7581003	7585911	19p13.2			Index gene	zinc finger protein 358																	
MCOLN1	chr19	7587495	7598895	19p13.2			Index gene	mucolipin 1																	
PNPLA6	chr19	7599037	7626653	19p13.2			Index gene	patatin like phospholipase domain containing 6																	
CAMSAP3	chr19	7660787	7683196	19p13.2			Index gene	calmodulin regulated spectrin associated protein family member 3																	
XAB2	chr19	7684410	7694439	19p13.3			Index gene	XPA binding protein 2																	
PET100	chr19	7694670	7696510	19p13.2			Index gene	PET100 homolog																	
TRAPPC5	chr19	7745706	7747748	19p13.3			Index gene	trafficking protein particle complex 5																	
EVI5L	chr19	7895160	7929862	19p13.2			Index gene	ecotropic viral integration site 5 like																	
PRR36	chr19	7933604	7939326	19p13.2			Index gene	proline rich 36																	
CTXN1	chr19	7989380	7991051	19p13.2			Index gene	cortexin 1																	
TIMM44	chr19	7991602	8008708	19p13.2			Index gene	translocase of inner mitochondrial membrane 44																	
ELAVL1	chr19	8023456	8070529	19p13.2			Index gene	ELAV like RNA binding protein 1																	
CERS4	chr19	8274216	8327304	19p13.2			Index gene	ceramide synthase 4																	
CD320	chr19	8367010	8373240	19p13.2			Index gene	CD320 molecule																	
NDUFA7	chr19	8373486	8386297	19p13.2			Index gene	NADH:ubiquinone oxidoreductase subunit A7																	
RPS28	chr19	8386383	8387280	19p13.2			Index gene	ribosomal protein S28																	
KANK3	chr19	8387467	8408146	19p13.2			Index gene	KN motif and ankyrin repeat domains 3																	
RAB11B	chr19	8455204	8469317	19p13.2			Index gene	RAB11B, member RAS oncogene family																	
MARCH2	chr19	8478186	8503899	#N/A			Index gene	#N/A																	
HNRNPM	chr19	8509711	8554002	19p13.2			Index gene	heterogeneous nuclear ribonucleoprotein M																	
UBL5	chr19	9938555	9940797	19p13.2			Index gene	ubiquitin like 5																	
PIN1	chr19	9945882	9960365	19p13			Index gene	peptidylprolyl cis/trans isomerase, NIMA-interacting 1																	
OLFM2	chr19	9964393	10047228	19p13.2			Index gene	olfactomedin 2																	
EIF3G	chr19	10225689	10230600	19p13.2			Index gene	eukaryotic translation initiation factor 3 subunit G																	
FDX1L	chr19	10420886	10426691	#N/A			Index gene	#N/A																	
CDC37	chr19	10501808	10514271	19p13.2			Index gene	cell division cycle 37																	
KEAP1	chr19	10596795	10614054	19p13.2			Index gene	kelch like ECH associated protein 1																	
ATG4D	chr19	10654569	10664099	19p13.2			Index gene	autophagy related 4D cysteine peptidase																	
CDKN2D	chr19	10677137	10679655	19p13.2			Index gene	cyclin dependent kinase inhibitor 2D																	
SLC44A2	chr19	10713120	10755235	19p13.2			Index gene	solute carrier family 44 member 2																	
ILF3	chr19	10764936	10803095	19p13.2			Index gene	interleukin enhancer binding factor 3																	
QTRT1	chr19	10812111	10824043	19p13.3			Index gene	queuine tRNA-ribosyltransferase catalytic subunit 1																	
DNM2	chr19	10828728	10942586	19p13.2			Index gene	dynamin 2																	
CARM1	chr19	10982252	11033448	19p13.2			Index gene	coactivator associated arginine methyltransferase 1																	
YIPF2	chr19	11033443	11039688	19p13.2			Index gene	Yip1 domain family member 2																	
SMARCA4	chr19	11071597	11172958	19p13.2			Index gene	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4																	
TMEM205	chr19	11453451	11456981	19p13.2			Index gene	transmembrane protein 205																	
PLPPR2	chr19	11466061	11476374	19p13.2			Index gene	phospholipid phosphatase related 2																	
PRKCSH	chr19	11546077	11561782	19p13.2			Index gene	protein kinase C substrate 80K-H																	
ELAVL3	chr19	11562142	11591803	19p13.2			Index gene	ELAV like RNA binding protein 3																	
ECSIT	chr19	11616730	11639987	19p13.2			Index gene	ECSIT signalling integrator																	
ELOF1	chr19	11663857	11670051	19p13.2			Index gene	elongation factor 1 homolog																	
WDR83	chr19	12777617	12786646	19p13.13			Index gene	WD repeat domain 83																	
WDR83OS_or_WDR83	chr19	12778880	12780465	#N/A			Index gene	#N/A																	
DHPS	chr19	12786530	12792701	19p13.13			Index gene	deoxyhypusine synthase																	
TNPO2	chr19	12810007	12834810	19p13.13			Index gene	transportin 2																	
C19orf43	chr19	12841453	12845589	19p13.13			Index gene	chromosome 19 open reading frame 43																	
ASNA1	chr19	12848272	12859138	19p13.13			Index gene	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)																	
PRDX2	chr19	12907633	12912724	19p13.13			Index gene	peroxiredoxin 2																	
MAST1	chr19	12949258	12985766	19p13.2			Index gene	microtubule associated serine/threonine kinase 1																	
FARSA	chr19	13033283	13044558	19p13.13			Index gene	phenylalanyl-tRNA synthetase alpha subunit																	
CALR	chr19	13049413	13055304	19p13.13			Index gene	calreticulin																	
RAD23A	chr19	13056627	13064457	19p13.13			Index gene	RAD23 homolog A, nucleotide excision repair protein																	
NFIX	chr19	13106583	13209610	19p13.13			Index gene	nuclear factor I X																	
TRMT1	chr19	13215713	13227563	19p13.13			Index gene	tRNA methyltransferase 1																	
NACC1	chr19	13229101	13251961	19p13.13			Index gene	nucleus accumbens associated 1																	
STX10	chr19	13254871	13261188	19p13.13			Index gene	syntaxin 10																	
C19orf53	chr19	13885256	13889586	19p13.13			Index gene	chromosome 19 open reading frame 53																	
DCAF15	chr19	14063285	14072261	19p13.12			Index gene	DDB1 and CUL4 associated factor 15																	
SAMD1	chr19	14199228	14201232	19p13.12			Index gene	sterile alpha motif domain containing 1																	
PRKACA	chr19	14202506	14228559	19p13.1			Index gene	protein kinase cAMP-activated catalytic subunit alpha																	
ADGRL1	chr19	14258548	14316997	19p13.12			Index gene	adhesion G protein-coupled receptor L1																	
DDX39A	chr19	14519609	14530195	19p13.12			Index gene	DExD-box helicase 39A																	
PKN1	chr19	14544165	14582679	19p13.12			Index gene	protein kinase N1																	
GIPC1	chr19	14588570	14606961	19p13.12			Index gene	GIPC PDZ domain containing family member 1																	
DNAJB1	chr19	14625575	14640134	19p13.12			Index gene	DnaJ heat shock protein family (Hsp40) member B1																	
TECR	chr19	14640371	14676792	19p13.12			Index gene	trans-2,3-enoyl-CoA reductase																	
NDUFB7	chr19	14676889	14682889	19p13.12			Index gene	NADH:ubiquinone oxidoreductase subunit B7																	
ILVBL	chr19	15225784	15236610	19p13.12			Index gene	ilvB acetolactate synthase like																	
BRD4	chr19	15348300	15391262	19p13.12			Index gene	bromodomain containing 4																	
AKAP8L	chr19	15490858	15529932	19p13.12			Index gene	A-kinase anchoring protein 8 like																	
WIZ	chr19	15532317	15560762	19p13.12			Index gene	widely interspaced zinc finger motifs																	
TPM4	chr19	16178316	16213813	19p13.12-p13.11			Index gene	tropomyosin 4																	
RAB8A	chr19	16222489	16244445	19p13.11			Index gene	RAB8A, member RAS oncogene family																	
FAM32A	chr19	16296211	16302857	19p13.11			Index gene	family with sequence similarity 32 member A																	
AP1M1	chr19	16308664	16346156	19p13.11			Index gene	adaptor related protein complex 1 mu 1 subunit																	
EPS15L1	chr19	16466054	16582823	19p13.11			Index gene	epidermal growth factor receptor pathway substrate 15 like 1																	
CALR3	chr19	16589867	16607003	19p13.11			Index gene	calreticulin 3																	
